Function,Variant,Run,Best
F8,IFPOA-X (base/FPA),8,5.974196e+03
F8,IFPOA-X (base/FPA),9,5.516813e+03
F8,IFPOA-X (base/FPA),10,4.939485e+03
F8,IFPOA-X (base/FPA),11,4.858903e+03
F8,IFPOA-X (base/FPA),12,3.806131e+03
F8,IFPOA-X (base/FPA),13,3.829166e+03
F8,IFPOA-X (base/FPA),14,6.358068e+03
F8,IFPOA-X (base/FPA),15,3.996903e+03
F8,IFPOA-X (base/FPA),16,5.731318e+03
F8,IFPOA-X (base/FPA),17,5.869928e+03
F8,IFPOA-X (base/FPA),18,3.741121e+03
F8,IFPOA-X (base/FPA),19,5.447461e+03
F8,IFPOA-X (base/FPA),20,4.258384e+03
F9,IFPOA-X (no OBL),1,3.023478e+02
F9,IFPOA-X (no OBL),2,3.591819e+02
F9,IFPOA-X (no OBL),3,3.370660e+02
F9,IFPOA-X (no OBL),4,3.543144e+02
F9,IFPOA-X (no OBL),5,3.397826e+02
F9,IFPOA-X (no OBL),6,3.655263e+02
F9,IFPOA-X (no OBL),7,3.564418e+02
F9,IFPOA-X (no OBL),8,3.689571e+02
F9,IFPOA-X (no OBL),9,4.178940e+02
F9,IFPOA-X (no OBL),10,3.378431e+02
F9,IFPOA-X (no OBL),11,3.757214e+02
F9,IFPOA-X (no OBL),12,3.734719e+02
F9,IFPOA-X (no OBL),13,3.612699e+02
F9,IFPOA-X (no OBL),14,3.873878e+02
F9,IFPOA-X (no OBL),15,3.647577e+02
F9,IFPOA-X (no OBL),16,3.607523e+02
F9,IFPOA-X (no OBL),17,3.923294e+02
F9,IFPOA-X (no OBL),18,3.642915e+02
F9,IFPOA-X (no OBL),19,3.432884e+02
F9,IFPOA-X (no OBL),20,3.721175e+02
F9,IFPOA-X (base/FPA),1,3.504761e+02
F9,IFPOA-X (base/FPA),2,2.972473e+02
F9,IFPOA-X (base/FPA),3,3.289986e+02
F9,IFPOA-X (base/FPA),4,3.390504e+02
F9,IFPOA-X (base/FPA),5,3.941195e+02
F9,IFPOA-X (base/FPA),6,3.700597e+02
F9,IFPOA-X (base/FPA),7,3.957302e+02
F9,IFPOA-X (base/FPA),8,3.759255e+02
F9,IFPOA-X (base/FPA),9,4.062104e+02
F9,IFPOA-X (base/FPA),10,2.962060e+02
F9,IFPOA-X (base/FPA),11,3.816463e+02
F9,IFPOA-X (base/FPA),12,3.622604e+02
F9,IFPOA-X (base/FPA),13,3.397842e+02
F9,IFPOA-X (base/FPA),14,3.486318e+02
F9,IFPOA-X (base/FPA),15,3.545833e+02
