Function,Algorithm,Run,Best
F4,DE,3,7.089759e+01
F4,DE,4,6.853612e+01
F4,DE,5,7.440288e+01
F4,DE,6,7.316123e+01
F4,DE,7,6.735756e+01
F4,DE,8,7.503342e+01
F4,DE,9,7.524646e+01
F4,DE,10,6.283777e+01
F4,DE,11,6.636607e+01
F4,DE,12,8.334930e+01
F4,DE,13,7.927444e+01
F4,DE,14,7.702244e+01
F4,DE,15,6.147349e+01
F4,DE,16,7.382362e+01
F4,DE,17,6.731280e+01
F4,DE,18,7.207680e+01
F4,DE,19,7.313591e+01
F4,DE,20,7.749493e+01
F4,L-SHADE,1,7.575982e+01
F4,L-SHADE,2,7.102275e+01
F4,L-SHADE,3,6.516141e+01
F4,L-SHADE,4,6.872544e+01
F4,L-SHADE,5,7.131938e+01
F4,L-SHADE,6,6.595978e+01
F4,L-SHADE,7,6.822343e+01
F4,L-SHADE,8,6.972051e+01
F4,L-SHADE,9,5.452702e+01
F4,L-SHADE,10,7.161824e+01
F4,L-SHADE,11,7.022064e+01
F4,L-SHADE,12,6.409880e+01
F4,L-SHADE,13,6.926420e+01
F4,L-SHADE,14,6.562988e+01
F4,L-SHADE,15,6.779757e+01
F4,L-SHADE,16,6.135792e+01
F4,L-SHADE,17,7.387452e+01
F4,L-SHADE,18,6.797729e+01
F4,L-SHADE,19,6.991855e+01
F4,L-SHADE,20,7.050367e+01
F4,GWO,1,4.184237e+01
F4,GWO,2,4.921578e+01
F4,GWO,3,4.434785e+01
F4,GWO,4,4.956596e+01
F4,GWO,5,4.973864e+01
F4,GWO,6,2.973956e+01
F4,GWO,7,4.271605e+01
F4,GWO,8,4.720608e+01
F4,GWO,9,4.557881e+01
F4,GWO,10,4.272202e+01
F4,GWO,11,5.089272e+01
F4,GWO,12,4.390977e+01
F4,GWO,13,5.709125e+01
F4,GWO,14,5.168673e+01
F4,GWO,15,3.799607e+01
F4,GWO,16,3.639354e+01
F4,GWO,17,4.324219e+01
F4,GWO,18,5.025534e+01
F4,GWO,19,3.699829e+01
F4,GWO,20,5.779854e+01
F4,WOA,1,8.975797e+01
F4,WOA,2,8.969532e+01
F4,WOA,3,9.378942e+01
F4,WOA,4,9.474517e+01
F4,WOA,5,9.104219e+01
F4,WOA,6,8.792229e+01
F4,WOA,7,7.784693e+01
F4,WOA,8,8.663656e+01
F4,WOA,9,9.049433e+01
F4,WOA,10,9.079103e+01
F4,WOA,11,9.397886e+01
F4,WOA,12,8.865629e+01
F4,WOA,13,9.092870e+01
F4,WOA,14,8.649066e+01
F4,WOA,15,9.145763e+01
F4,WOA,16,8.314642e+01
F4,WOA,17,8.639949e+01
F4,WOA,18,9.283158e+01
F4,WOA,19,8.171349e+01
F4,WOA,20,9.069576e+01
F4,TPE,1,7.471225e+01
F4,TPE,2,7.711932e+01
F4,TPE,3,6.850539e+01
F4,TPE,4,7.754013e+01
F4,TPE,5,7.754099e+01
F4,TPE,6,7.518389e+01
F4,TPE,7,8.581004e+01
F4,TPE,8,8.147016e+01
F4,TPE,9,8.410414e+01
F4,TPE,10,7.214508e+01
F4,TPE,11,7.304909e+01
F4,TPE,12,6.444685e+01
F4,TPE,13,7.225904e+01
F4,TPE,14,7.931920e+01
F4,TPE,15,7.904565e+01
F4,TPE,16,7.700854e+01
F4,TPE,17,7.008381e+01
F4,TPE,18,7.633661e+01
F4,TPE,19,7.960453e+01
F4,TPE,20,7.732373e+01
F5,IFPOA-X,1,5.346763e+01
F5,IFPOA-X,2,4.898587e+01
F5,IFPOA-X,3,2.473486e+02
F5,IFPOA-X,4,4.907276e+01
F5,IFPOA-X,5,5.121092e+01
F5,IFPOA-X,6,5.270919e+01
F5,IFPOA-X,7,4.906324e+01
F5,IFPOA-X,8,4.911017e+01
F5,IFPOA-X,9,4.903621e+01
F5,IFPOA-X,10,3.879269e+02
F5,IFPOA-X,11,4.899851e+01
F5,IFPOA-X,12,4.909814e+01
F5,IFPOA-X,13,7.561514e+01
F5,IFPOA-X,14,4.898233e+01
F5,IFPOA-X,15,7.105377e+01
F5,IFPOA-X,16,4.899180e+01
F5,IFPOA-X,17,1.561649e+02
F5,IFPOA-X,18,4.899116e+01
F5,IFPOA-X,19,4.896972e+01
F5,IFPOA-X,20,4.899404e+01
F5,FPA,1,8.101674e+06
F5,FPA,2,6.879293e+06
F5,FPA,3,6.715743e+06
F5,FPA,4,5.765997e+06
F5,FPA,5,7.173196e+05
F5,FPA,6,4.867589e+06
F5,FPA,7,4.875021e+06
F5,FPA,8,4.286422e+06
F5,FPA,9,6.825077e+06
F5,FPA,10,4.285990e+06
F5,FPA,11,4.749868e+06
F5,FPA,12,1.415252e+06
F5,FPA,13,4.025804e+06
F5,FPA,14,2.996969e+06
F5,FPA,15,4.704186e+06
F5,FPA,16,2.914345e+06
F5,FPA,17,9.462904e+06
F5,FPA,18,4.494811e+06
F5,FPA,19,3.150688e+06
F5,FPA,20,3.673133e+06
F5,PSO,1,2.150504e+06
F5,PSO,2,3.255208e+06
F5,PSO,3,1.815624e+06
F5,PSO,4,2.577861e+06
F5,PSO,5,3.730341e+06
F5,PSO,6,1.515657e+06
F5,PSO,7,2.231118e+06
F5,PSO,8,2.245438e+06
F5,PSO,9,1.947085e+06
F5,PSO,10,5.530742e+06
F5,PSO,11,1.880427e+06
F5,PSO,12,2.262046e+06
F5,PSO,13,2.707021e+06
F5,PSO,14,4.675200e+06
F5,PSO,15,6.542791e+06
F5,PSO,16,3.615601e+06
F5,PSO,17,3.205733e+06
F5,PSO,18,1.970379e+06
F5,PSO,19,2.229927e+06
F5,PSO,20,2.226121e+06
F5,DE,1,1.437702e+08
F5,DE,2,1.184447e+08
F5,DE,3,1.486791e+08
F5,DE,4,1.999632e+08
F5,DE,5,1.318628e+08
F5,DE,6,1.359031e+08
F5,DE,7,1.227565e+08
F5,DE,8,9.340887e+07
F5,DE,9,1.888783e+08
F5,DE,10,3.294326e+07
F5,DE,11,5.525064e+07
F5,DE,12,8.763931e+07
F5,DE,13,9.855024e+07
F5,DE,14,2.188662e+08
F5,DE,15,1.103367e+08
F5,DE,16,1.127724e+08
F5,DE,17,9.804980e+07
F5,DE,18,1.439330e+08
F5,DE,19,1.289660e+08
F5,DE,20,7.506713e+07
F5,L-SHADE,1,1.832695e+07
F5,L-SHADE,2,1.434940e+07
F5,L-SHADE,3,1.133331e+07
F5,L-SHADE,4,2.563747e+07
F5,L-SHADE,5,1.948281e+07
F5,L-SHADE,6,2.381824e+07
F5,L-SHADE,7,2.281408e+07
F5,L-SHADE,8,3.603325e+07
F5,L-SHADE,9,2.997959e+07
F5,L-SHADE,10,2.170132e+07
F5,L-SHADE,11,2.095239e+07
F5,L-SHADE,12,2.899774e+07
F5,L-SHADE,13,1.961469e+07
F5,L-SHADE,14,2.547110e+07
F5,L-SHADE,15,2.076847e+07
F5,L-SHADE,16,2.550091e+07
F5,L-SHADE,17,1.825650e+07
F5,L-SHADE,18,3.543966e+07
F5,L-SHADE,19,3.669082e+07
F5,L-SHADE,20,2.071044e+07
F5,GWO,1,2.346854e+06
F5,GWO,2,1.932518e+06
F5,GWO,3,8.691843e+05
F5,GWO,4,3.917738e+06
F5,GWO,5,2.886040e+06
F5,GWO,6,3.054118e+06
F5,GWO,7,1.771804e+06
F5,GWO,8,2.563332e+06
F5,GWO,9,8.574671e+05
F5,GWO,10,3.091195e+06
F5,GWO,11,1.506825e+06
F5,GWO,12,3.773573e+06
F5,GWO,13,2.725497e+06
F5,GWO,14,7.268094e+06
F5,GWO,15,1.385366e+06
F5,GWO,16,2.498393e+06
F5,GWO,17,2.070401e+06
F5,GWO,18,2.679944e+06
F5,GWO,19,2.167771e+06
F5,GWO,20,4.741432e+06
F5,WOA,1,2.556342e+05
F5,WOA,2,2.650173e+06
F5,WOA,3,1.529655e+07
F5,WOA,4,9.361280e+02
F5,WOA,5,1.013179e+05
F5,WOA,6,7.110998e+03
F5,WOA,7,2.528155e+05
F5,WOA,8,2.536456e+04
F5,WOA,9,3.227249e+04
F5,WOA,10,7.513315e+05
F5,WOA,11,2.179487e+03
F5,WOA,12,2.681117e+06
F5,WOA,13,1.976733e+07
F5,WOA,14,2.662645e+06
F5,WOA,15,4.363017e+03
F5,WOA,16,1.506315e+03
F5,WOA,17,6.505268e+01
F5,WOA,18,2.529715e+04
F5,WOA,19,4.445145e+03
F5,WOA,20,1.771641e+05
F5,TPE,1,2.051261e+08
F5,TPE,2,1.602842e+08
F5,TPE,3,1.633442e+08
F5,TPE,4,1.674352e+08
