Function,Variant,Run,Best
F2,IFPOA-X (base/FPA),3,8.661426e+01
F2,IFPOA-X (base/FPA),4,1.861823e+02
F2,IFPOA-X (base/FPA),5,2.562949e+03
F2,IFPOA-X (base/FPA),6,8.849853e+01
F2,IFPOA-X (base/FPA),7,4.751336e+04
F2,IFPOA-X (base/FPA),8,8.295217e+01
F2,IFPOA-X (base/FPA),9,4.192457e+03
F2,IFPOA-X (base/FPA),10,8.412872e+03
F2,IFPOA-X (base/FPA),11,8.115475e+01
F2,IFPOA-X (base/FPA),12,1.605175e+02
F2,IFPOA-X (base/FPA),13,3.450274e+03
F2,IFPOA-X (base/FPA),14,1.954646e+02
F2,IFPOA-X (base/FPA),15,4.887389e+03
F2,IFPOA-X (base/FPA),16,2.039092e+02
F2,IFPOA-X (base/FPA),17,6.041052e+02
F2,IFPOA-X (base/FPA),18,9.044434e+01
F2,IFPOA-X (base/FPA),19,1.106460e+02
F2,IFPOA-X (base/FPA),20,1.051663e+02
F3,IFPOA-X (no OBL),1,6.838605e+04
F3,IFPOA-X (no OBL),2,6.191507e+04
F3,IFPOA-X (no OBL),3,5.317046e+04
F3,IFPOA-X (no OBL),4,5.809258e+04
F3,IFPOA-X (no OBL),5,5.555347e+04
F3,IFPOA-X (no OBL),6,5.486370e+04
F3,IFPOA-X (no OBL),7,4.351460e+04
F3,IFPOA-X (no OBL),8,8.532889e+04
F3,IFPOA-X (no OBL),9,4.771250e+04
F3,IFPOA-X (no OBL),10,4.561972e+04
F3,IFPOA-X (no OBL),11,4.955810e+04
F3,IFPOA-X (no OBL),12,7.238642e+04
F3,IFPOA-X (no OBL),13,5.189121e+04
F3,IFPOA-X (no OBL),14,4.088233e+04
F3,IFPOA-X (no OBL),15,5.406054e+04
F3,IFPOA-X (no OBL),16,5.778655e+04
F3,IFPOA-X (no OBL),17,5.651111e+04
F3,IFPOA-X (no OBL),18,5.731323e+04
F3,IFPOA-X (no OBL),19,4.933583e+04
F3,IFPOA-X (no OBL),20,6.105450e+04
F3,IFPOA-X (no JADE),1,4.584453e+03
F3,IFPOA-X (no JADE),2,2.289931e-05
